Title,Author,Publication Date,Location,URL,Anger[0],Anger[1],Anger[2],Anger[3],Anger[4],Disgust[0],Disgust[1],Disgust[2],Disgust[3],Disgust[4],Fear[0],Fear[1],Fear[2],Fear[3],Fear[4],Joy[0],Joy[1],Joy[2],Joy[3],Joy[4],Sadness[0],Sadness[1],Sadness[2],Sadness[3],Sadness[4]
Tarzan and the Jewels of Opar,Edgar Rice Burroughs,1916,United States,http://www.loyalbooks.com/download/text/Tarzan-and-the-Jewels-of-Opar-by-Edgar-Rice-Burroughs.txt,0.448952,0.099453,0.148977,0.131997,0.530518,0.148066,0.115485,0.136277,0.607931,0.430608,0.190779,0.549121,0.184098,0.506011,0.578199,0.550143,0.564787,0.569932,0.536057,0.554774,0.571633,0.561615,0.558892,0.530656,0.519349
Bleak House,Charles Dickens,1852,England,http://www.loyalbooks.com/download/text/Bleak-House-by-Charles-Dickens.txt,0.10211,0.149453,0.18056,0.142245,0.111884,0.109122,0.085396,0.164357,0.09977,0.119053,0.122199,0.114762,0.167582,0.110673,0.098761,0.550961,0.615167,0.537667,0.550378,0.615959,0.540123,0.54922,0.542259,0.536142,0.567481
The Road to Oz,L. Frank Baum,1909,United States,http://www.loyalbooks.com/download/text/The-Road-to-Oz-by-L-Frank-Baum.txt,0.100593,0.121312,0.506835,0.126191,0.095172,0.102946,0.147046,0.139987,0.118223,0.085538,0.09685,0.556442,0.167716,0.124753,0.084499,0.639998,0.636196,0.576229,0.633309,0.698648,0.175168,0.182246,0.582978,0.62385,0.514134
The Portrait of a Lady,Henry James,1881,United Kingdom United States,http://www.loyalbooks.com/download/text/The-Portrait-of-a-Lady-vol-1.txt,0.156166,0.144116,0.145347,0.134127,0.140238,0.117511,0.12162,0.098828,0.526761,0.083969,0.141213,0.152059,0.130359,0.107402,0.126528,0.597133,0.621934,0.587404,0.591815,0.575721,0.577746,0.564208,0.56002,0.496147,0.560075
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1886,United Kingdom,http://www.loyalbooks.com/download/text/The-Strange-Case-of-Dr-Jekyll-and-Mr-Hyde-by-Robert-Louis-Stevenson-2.txt,0.148833,0.14877,0.18373,0.133489,0.145724,0.120074,0.148702,0.135487,0.124393,0.158624,0.148983,0.578073,0.559647,0.603438,0.486005,0.612965,0.551417,0.508179,0.562572,0.513202,0.465076,0.533825,0.536429,0.512194,0.567871
One of Ours,Willa Cather,1922,United States,http://www.loyalbooks.com/download/text/One-of-Ours-by-Willa-Cather.txt,0.195571,0.137935,0.158943,0.134206,0.137976,0.137951,0.126825,0.148062,0.522194,0.506951,0.151502,0.126399,0.172777,0.143506,0.164101,0.577946,0.593723,0.555454,0.563431,0.565225,0.49566,0.485521,0.497018,0.568041,0.182266
Mr Standfast,John Buchan,1919,United Kingdom,http://www.loyalbooks.com/download/text/Mr-Standfast-by-John-Buchan.txt,0.124319,0.15465,0.115004,0.148014,0.164401,0.114049,0.132411,0.113014,0.124668,0.113802,0.130374,0.506035,0.151114,0.157501,0.151613,0.601211,0.550866,0.591504,0.583887,0.544175,0.516882,0.490171,0.495644,0.577779,0.51284
Spacehounds of IPC,Edward E. Smith Ph.D.,1947,United States,http://www.loyalbooks.com/download/text/Spacehounds-of-Ipc.txt,0.12907,0.124546,0.131767,0.125635,0.186999,0.088855,0.102929,0.097677,0.090699,0.123676,0.15454,0.162147,0.12256,0.14106,0.169445,0.581936,0.555023,0.603208,0.544805,0.519213,0.512114,0.515874,0.181163,0.49117,0.532712
From the Earth to the Moon,Jules Verne,1867,France,http://www.loyalbooks.com/download/text/From-the-Earth-to-the-Moon-by-Jules-Verne.txt,0.144823,0.105824,0.140428,0.148309,0.129486,0.105474,0.497436,0.114952,0.104478,0.078725,0.133951,0.116448,0.123933,0.169903,0.141745,0.557325,0.575171,0.542655,0.498043,0.48679,0.189097,0.149396,0.525611,0.466915,0.551226
Just So Stories,Rudyard Kipling,1902,United Kingdom,http://www.loyalbooks.com/download/text/Just-So-Stories-by-Rudyard-Kipling.txt,0.139317,0.133853,0.128647,0.107209,0.126604,0.49341,0.162046,0.083678,0.480995,0.152973,0.134896,0.130977,0.135551,0.128628,0.130922,0.560441,0.599426,0.613539,0.567774,0.646046,0.493423,0.518609,0.225602,0.496821,0.158938
